olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989221,In-stream video (skippable),2022-02-01,2989221,114804,,391188,4033,391188,4033
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990678,In-stream video (skippable),2022-02-01,2990678,211,,253,,253,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990647,In-stream video (skippable),2022-02-01,2990647,623,,9098,,9098,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990654,In-stream video (skippable),2022-02-01,2990654,777,,10671,,10671,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990673,In-stream video (skippable),2022-02-01,2990673,78,,125,,125,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990686,In-stream video (skippable),2022-02-01,2990686,959,,1220,,1220,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990679,In-stream video (skippable),2022-02-01,2990679,446,,682,,682,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989300,In-stream video (skippable),2022-02-01,2989300,30980,,111067,5236,111067,5236
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990685,In-stream video (skippable),2022-02-01,2990685,128,,181,,181,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989295,In-stream video (skippable),2022-02-01,2989295,1931,,4736,203,4736,203
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989297,In-stream video (skippable),2022-02-01,2989297,17588,,47563,4056,47563,4056
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990644,In-stream video (skippable),2022-02-01,2990644,223,,4624,,4624,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990667,In-stream video (skippable),2022-02-01,2990667,40998,40998,40998,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989299,In-stream video (skippable),2022-02-01,2989299,70124,,221161,6494,221161,6494
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990659,In-stream video (skippable),2022-02-01,2990659,19865,19865,19865,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989298,In-stream video (skippable),2022-02-01,2989298,59,,215,4,215,4
